epoch,loss
1,5.1454306
2,2.474852
3,1.9880443
4,1.7378746
5,1.6002904
6,1.5035858
7,1.4477614
8,1.3643557
9,1.3004247
10,1.2425978
11,1.1738461
12,1.1045438
13,1.0546505
14,1.019626
15,0.9607542
16,0.8966124
17,0.8386331
18,0.7972908
19,0.75943196
20,0.73063546
21,0.68179154
22,0.6556932
23,0.63615
24,0.62333536
25,0.6086576
26,0.6002368
27,0.5865607
28,0.5731684
29,0.5731771
30,0.56280404
31,0.5577457
32,0.5399897
33,0.5469581
34,0.5430414
35,0.5482926
36,0.543257
37,0.52423376
38,0.5244527
39,0.52418774
40,0.52511656
41,0.50006104
42,0.52758443
43,0.5193319
44,0.50706536
45,0.5210843
46,0.5059896
47,0.50603366
48,0.5069756
